NUM_THREADS,"schedule: STATIC,100","schedule: dynamic,100",schedule: STATIC,"schedule: dynamic,100000"
1,0.765067,0.762233,0.765262,0.76767
2,1.369998,1.358344,0.376323,0.466575
3,0.958291,0.930284,0.268662,0.330643
4,0.759096,0.869022,0.202414,0.259682
5,0.612729,0.709658,0.169105,0.249702
6,0.510754,0.605759,0.144649,0.210803
7,0.446641,0.546771,0.130158,0.208982
8,0.395067,0.458449,0.116805,0.200436
9,0.356064,0.447991,0.149288,0.183992
10,0.35511,0.42084,0.148855,0.174912
11,0.333438,0.39003,0.129546,0.163009
12,0.307013,0.39068,0.118259,0.168018
13,0.270211,0.353977,0.117253,0.164851
14,0.276558,0.351323,0.104733,0.158345
15,0.258999,0.338263,0.117295,0.156259
16,0.264578,0.339344,0.10319,0.147561
