NUM_THREADS,"schedule: STATIC,100","schedule: dynamic,100",schedule: STATIC,"schedule: dynamic,100000"
1,0.5509304,0.5496256,0.5477514,0.5491398
2,0.8719274,0.594191,0.2709338,0.325432
3,0.5938996,0.5399136,0.1922784,0.2314008
4,0.4855074,0.4715384,0.1447408,0.1853784
5,0.3912328,0.399056,0.128857,0.1579064
6,0.323077,0.3414616,0.1176266,0.1391308
7,0.3041494,0.2879464,0.1054494,0.1228406
8,0.2541616,0.2542996,0.0865806,0.1286758
9,0.2414272,0.2563502,0.0961488,0.1131972
10,0.2193448,0.23703,0.0878122,0.1112186
11,0.205864,0.2276456,0.0817584,0.1081966
12,0.1873244,0.2141606,0.0797448,0.0973872
13,0.1895488,0.2005586,0.0732838,0.0992232
14,0.1761332,0.188355,0.0716808,0.099315
15,0.1655764,0.1907526,0.0736244,0.0954552
16,0.1601558,0.185513,0.0652754,0.0899466
,,,,
,0.548235,0.548274,0.546998,0.546154
,0.895463,0.549045,0.272539,0.323161
,0.583238,0.525994,0.191627,0.234106
,0.510941,0.430786,0.143929,0.177351
,0.370005,0.366716,0.161237,0.153664
,0.342485,0.309132,0.144022,0.13146
,0.32234,0.278264,0.091361,0.121564
,0.23998,0.242959,0.080445,0.113929
,0.243721,0.266662,0.093471,0.120216
,0.226297,0.239061,0.089829,0.113021
,0.205726,0.231402,0.086167,0.107537
,0.189014,0.217252,0.069868,0.094945
,0.177334,0.195502,0.0633,0.102287
,0.16821,0.187039,0.070314,0.10124
,0.163848,0.189548,0.072073,0.096979
,0.161566,0.179068,0.066397,0.084485
,,,,
,0.554057,0.55007,0.545593,0.551869
,0.849574,0.626609,0.271746,0.324432
,0.564789,0.57529,0.1931,0.232098
,0.513892,0.429928,0.142647,0.177691
,0.42686,0.416167,0.121054,0.151753
,0.320707,0.348481,0.100096,0.138547
,0.2741,0.269984,0.124796,0.122418
,0.259603,0.284942,0.08074,0.132317
,0.25912,0.261257,0.102552,0.106264
,0.214244,0.231675,0.074163,0.100151
,0.210895,0.230601,0.065469,0.109904
,0.196988,0.217059,0.08494,0.091341
,0.17308,0.206737,0.079824,0.102757
,0.187147,0.200278,0.073197,0.092617
,0.172354,0.192875,0.069734,0.098022
,0.162906,0.186186,0.062696,0.095968
,,,,
,0.551144,0.551175,0.551293,0.547476
,0.858886,0.557049,0.270908,0.325978
,0.626675,0.526158,0.191365,0.22948
,0.468296,0.490841,0.146784,0.183446
,0.365835,0.376586,0.120618,0.177603
,0.337173,0.361961,0.101125,0.156968
,0.275063,0.324228,0.09114,0.122545
,0.252631,0.244289,0.079221,0.130734
,0.239876,0.264787,0.104974,0.10631
,0.228982,0.229612,0.076581,0.112028
,0.196824,0.213866,0.081321,0.109183
,0.187149,0.217986,0.08497,0.096068
,0.198294,0.21061,0.077413,0.103836
,0.176693,0.185298,0.070928,0.101188
,0.153928,0.191071,0.067974,0.100211
,0.158612,0.188131,0.066186,0.086623
,,,,
,0.547211,0.546377,0.548563,0.550337
,0.847822,0.617853,0.268026,0.326379
,0.591586,0.521985,0.190472,0.230336
,0.464695,0.519224,0.145629,0.208568
,0.390395,0.418102,0.120236,0.154819
,0.316256,0.363731,0.100916,0.134441
,0.324732,0.273451,0.092163,0.123856
,0.265175,0.252843,0.110651,0.134682
,0.224007,0.264316,0.099813,0.125841
,0.217215,0.245651,0.100356,0.112045
,0.204315,0.229245,0.086443,0.108323
,0.188082,0.216405,0.080177,0.101597
,0.194913,0.201578,0.076783,0.092312
,0.173751,0.1857,0.072478,0.100066
,0.171929,0.185195,0.071725,0.087371
,0.154439,0.189651,0.069093,0.087501
,,,,
,0.554005,0.552232,0.54631,0.549863
,0.907892,0.620399,0.27145,0.32721
,0.60321,0.550141,0.194828,0.230984
,0.469713,0.486913,0.144715,0.179836
,0.403069,0.417709,0.12114,0.151693
,0.298764,0.324003,0.141974,0.134238
,0.324512,0.293805,0.127787,0.12382
,0.253419,0.246465,0.081846,0.131717
,0.240412,0.224729,0.079934,0.107355
,0.209986,0.239151,0.098132,0.118848
,0.21156,0.233114,0.089392,0.106036
,0.175389,0.202101,0.078769,0.102985
,0.204123,0.188366,0.069099,0.094924
,0.174865,0.18346,0.071487,0.101464
,0.165823,0.195074,0.086616,0.094693
,0.163256,0.184529,0.062005,0.095156
