NUM_THREADS,"schedule: STATIC,100","schedule: dynamic,100",schedule: STATIC,"schedule: dynamic,100000"
1,0.7659618,0.7665014,0.7635606,0.7679806
2,1.352403,1.3381052,0.376965,0.4686626
3,0.89511,0.9573174,0.2682018,0.3310344
4,0.744691,0.8185442,0.214874,0.2702596
5,0.6084362,0.6955324,0.1783182,0.2305184
6,0.5135892,0.5959376,0.1499898,0.2154368
7,0.4628226,0.5367918,0.1647024,0.2029596
8,0.4016324,0.4797218,0.145119,0.1879156
9,0.3751168,0.446157,0.132788,0.1753866
10,0.3413978,0.4173488,0.1372382,0.1771226
11,0.3274318,0.4046304,0.1317552,0.1717704
12,0.305636,0.3822652,0.1218524,0.159838
13,0.2934186,0.3677864,0.1092714,0.1605438
14,0.278603,0.3503172,0.1124958,0.1598632
15,0.2590856,0.3387714,0.1151444,0.150505
16,0.257067,0.3344004,0.108033,0.1520178
